,time,day,duration,flow_rate,variability,isleak
0,0:31:37,Sun,10,2.00543683,0.4454097,FALSE
1,19:20:08,Sat,141,2.244325465,0.097050664,FALSE
2,19:24:42,Thu,22,1.447765548,0.328987865,FALSE
3,15:20:20,Sat,45,1.796815824,0.670780514,FALSE
4,21:47:19,Mon,37,0.372022886,0.347356949,FALSE
5,17:29:10,Wed,539,0.731779243,0.3220281,FALSE
6,3:21:10,Wed,190,0.532379879,0.407060478,FALSE
7,15:29:28,Sat,30,2.804401319,0.253771921,FALSE
8,1:06:28,Tue,42,0.51019087,0.21781351,FALSE
9,1:57:06,Wed,10,1.697764728,0.168450752,FALSE
10,16:13:49,Sat,242,0.640616213,0.260879484,FALSE
11,5:56:02,Wed,71,1.729132401,0.10482168,FALSE
12,17:57:45,Fri,66,0.355826221,0.264249744,FALSE
13,21:23:40,Wed,17,2.014857882,0.762251708,FALSE
14,13:19:01,Sun,186,0.722984429,0.208518974,FALSE
15,10:20:01,Sat,1015,0.673768048,0.278274316,FALSE
16,14:15:30,Sat,844,2.072825241,0.339789909,FALSE
17,17:07:45,Wed,208,2.426468828,0.089789248,FALSE
18,0:13:00,Sun,167,1.964779585,0.397021196,FALSE
19,9:31:09,Tue,163,0.696139713,0.476970473,FALSE
20,10:53:07,Tue,14,2.453532403,0.064496982,FALSE
21,10:55:50,Tue,1200,2.720012237,0.394892637,FALSE
22,10:36:04,Sun,772,0.48360165,0.346054167,FALSE
23,3:06:47,Sat,20,0.665253826,0.238724613,FALSE
24,2:37:21,Sun,47,0.335863657,0.280155428,FALSE
25,18:06:26,Mon,33,1.862699023,0.268943802,FALSE
26,3:18:58,Thu,39,1.56174165,0.289751133,FALSE
27,12:29:43,Fri,507,1.902482827,0.463743775,FALSE
28,6:36:32,Wed,22,0.673142484,0.382390763,FALSE
29,18:15:19,Mon,84,0.910257373,0.208276095,FALSE
30,21:12:26,Mon,977,0.568013009,0.241676056,FALSE
31,12:08:31,Thu,53,2.236619391,0.176845908,FALSE
32,22:29:16,Mon,305,0.656410296,0.223885653,FALSE
33,20:29:27,Fri,16,2.082055303,0.444618188,FALSE
34,20:04:23,Fri,94,0.45195126,0.27522852,FALSE
35,0:05:25,Thu,18,2.562863587,0.125176938,FALSE
36,17:21:51,Mon,18,0.678621178,0.157420044,FALSE
37,19:42:21,Wed,37,2.449465646,0.258103715,FALSE
38,20:46:31,Thu,339,0.721100263,0.197355551,FALSE
39,12:37:12,Fri,56,0.354823134,0.187080038,FALSE
40,3:19:02,Thu,24,2.235714985,0.336651077,FALSE
41,15:16:44,Mon,458,0.708571361,0.199041224,FALSE
42,0:28:38,Thu,23,2.283075239,0.181364192,FALSE
43,1:39:56,Sat,15,2.842224749,0.166475428,FALSE
44,0:15:58,Thu,153,0.371166547,0.098439448,FALSE
